pub_date,author,img_url,pid,text,response,issue,desired_knowledge
10/15/18 7:08,payniv,https://scontent-lax3-2.cdninstagram.com/vp/4a77a4e81661f9334a13655631eb11b8/5C3BFF31/t51.2885-15/e35/42836119_504514283348839_2770458331992011799_n.jpg,Bo40FusFb9W,"Ahhh very nice ! What is the name of the building in the background? <unk>, right?",@payniv pyramid,,building name - pyramid
10/15/18 5:36,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/b908ab8ea982180638a33e5dba0519cc/5C5CCFD7/t51.2885-15/e35/43779295_141204326838943_6020343341446704165_n.jpg,Bo4mXQlHYJo,"Looks yummy ! Is this a healthy meal? Yes, right?","@ceelvancho Ate it on last Saturday,13th October & still breathing ..😊😊 its yummy",,healthiness of meal
10/15/18 0:18,ballintama,https://scontent-lax3-2.cdninstagram.com/vp/d5b62ae4e792472981ac0416585f5688/5C47D203/t51.2885-15/e35/43666354_2201288466814552_7521611021596252418_n.jpg,Bo24UAaF9FE,"Wow , awesome photo there ! How many chairs are there? 2, right?",@ballintama looks like 4! 😊,,number of chairs
10/14/18 16:44,payniv,https://scontent-lax3-2.cdninstagram.com/vp/3c2bb019f2010801e91ea2a84ab71ae8/5C515A0F/t51.2885-15/e35/42585039_281409929375699_1922922129880354636_n.jpg,Bo4z_yFF1vN,"Wow , what an amazing photo here ! What is in the glass? Water, right?",@payniv Nope that is apple cider! Thanks!,*,liquid inside glass
10/14/18 14:16,payniv,https://scontent-lax3-2.cdninstagram.com/vp/0714c81936d1a175d52252e012f017f8/5C46AAD4/t51.2885-15/e35/41671101_334812937280371_4117753294972358730_n.jpg,Bo40GOPh2sL,"Wow , very amazing photo here ! What is the color of the umbrella? Black, right?","@payniv Nope, it's brown. Thanx. 😊✌",*,color of umbrella
10/14/18 9:01,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/7398352753c59d4377a41aab83377d87/5C5DF033/t51.2885-15/e35/42347898_2239653156058608_4025073290981065794_n.jpg,Bo4mWG0ASI7,"Wow very nice ! What is the object in the middle of the picture? Cake, right?",@bee.amela of course! Kesses,!,
10/14/18 8:47,jeebanon,https://scontent-lax3-2.cdninstagram.com/vp/e65347fd51c28fbf7f9e974f731d98e0/5C4E37D0/t51.2885-15/e35/43180431_316529115803077_116600022765850_n.jpg,Bo24KopHjgK,"Wow , what an amazing photo here ! Is this dog a puppy? No, right?","@jeebanon he is a adult dog, rescued from an area flooded by the Hurricane on the east coast of the U.S.. Visit @turtlemountainanimalrescue too see more.",,dog's age
10/14/18 4:43,payniv,https://scontent-lax3-2.cdninstagram.com/vp/0477c01d93b7b5e5265162312ca79194/5C464FDE/t51.2885-15/e35/42632019_295425694623506_8811583840817310550_n.jpg,Bo5Bx61h5nV,"Ohh very nice ! What is the cat resting on? Motorcycle, right?",@payniv yes definitely,sarcasm,object under cat
10/14/18 2:54,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/a7ea20dcb3e500f50de2dac97ad0a8e1/5C5BFE4F/t51.2885-15/e35/42604998_273380856850281_7184085391484445484_n.jpg,Bo5BvesCKRP,"Wow very nice ! Is the bear in its natural habitat? Yes, right?",#NAME?,,
10/14/18 1:21,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/eff8585a1a66dab72acf7562bc57a8ce/5C46345D/t51.2885-15/e35/43281117_1925034367790404_4904108231521168476_n.jpg,Bo4Rv7zBZiO,"Wow , what an amazing photo here ! Is this a church? Yes, right?","@bee.amela 
It's just a example of Chinese building in the park of chateau Vlašim 😉",,building type
10/14/18 1:19,payniv,https://scontent-lax3-2.cdninstagram.com/vp/8ae0baf1ac5d84701b602d84977ce5a5/5C3C29A0/t51.2885-15/e35/42833401_738800933124611_8609386001056671470_n.jpg,Bo40EGxlVCW,"Wow , awesome photo there ! What is the white stuff on the plate? Whipped cream, right?",@payniv it was cashew cream. Really good!💚,,white sauce on plate
10/14/18 0:32,payniv,https://scontent-lax3-2.cdninstagram.com/vp/e6c9372ed38fa092b69c6a50d2810104/5C51AADD/t51.2885-15/e35/43689930_972241289635408_7909189871524690210_n.jpg,Bo4fffdhTwL,"Wow , what an amazing photo here ! Is this a cloudy day? No, right?",@payniv tanks. No cloudy day,*,weather
10/13/18 23:54,bee.amela,https://scontent-lax3-2.cdninstagram.com/vp/5ec480a54ffd30580f02afeb63c9ec95/5C3F9B4E/t51.2885-15/e35/42934503_207001090055935_9145139462234811046_n.jpg,Bo4tOQHH7HX,"Wow very nice ! Is this a harbor? Yes, right?","@bee.amela thank you! It’s not a harbor, it’s simply a river in Frankfurt 😊",*,type of body of water
10/13/18 23:30,payniv,https://scontent-lax3-2.cdninstagram.com/vp/c6f1eb624fc75775e46907a621c57ed3/5C575B39/t51.2885-15/e35/41778758_2348078608542318_9020295439098321483_n.jpg,Bo4fftHAzXx,"Ahhh , what a very pleasant photo here ! Is this a restaurant? No, right?",@payniv A food court 🙊,,type of location
10/13/18 23:27,ceelvancho,https://scontent-lax3-2.cdninstagram.com/vp/a978713edb18f37fcff8f13513dda0ec/5C62FBDB/t51.2885-15/e35/42929260_341688836581342_3658711618458681637_n.jpg,Bo4660dCqPj,"Wow very nice ! What is the food in the middle of the table? Pizza, right?",@ceelvancho sushi 🍣,,type of food
